Initializing model...
Mode: model_id=Qwen/Qwen2.5-VL-32B-Instruct | uses_tools=False | uses_image=False
Config 14/20 | Run 08/10
Config 14/20 | Run 09/10
Config 14/20 | Run 10/10
Config 15/20 | Run 01/10
Config 15/20 | Run 02/10
Config 15/20 | Run 03/10
Config 15/20 | Run 04/10
Config 15/20 | Run 05/10
Config 15/20 | Run 06/10
Config 15/20 | Run 07/10
Config 15/20 | Run 08/10
Config 15/20 | Run 09/10
Config 15/20 | Run 10/10
Config 16/20 | Run 01/10
Config 16/20 | Run 02/10
Config 16/20 | Run 03/10
Config 16/20 | Run 04/10
Config 16/20 | Run 05/10
Config 16/20 | Run 06/10
Config 16/20 | Run 07/10
Config 16/20 | Run 08/10
Config 16/20 | Run 09/10
Config 16/20 | Run 10/10
Config 17/20 | Run 01/10
Config 17/20 | Run 02/10
Config 17/20 | Run 03/10
Config 17/20 | Run 04/10
Config 17/20 | Run 05/10
Config 17/20 | Run 06/10
Config 17/20 | Run 07/10
Config 17/20 | Run 08/10
Config 17/20 | Run 09/10
Config 17/20 | Run 10/10
Config 18/20 | Run 01/10
Config 18/20 | Run 02/10
Config 18/20 | Run 03/10
Config 18/20 | Run 04/10
Config 18/20 | Run 05/10
Config 18/20 | Run 06/10
Config 18/20 | Run 07/10
Config 18/20 | Run 08/10
Config 18/20 | Run 09/10
Config 18/20 | Run 10/10
Config 19/20 | Run 01/10
Config 19/20 | Run 02/10
Config 19/20 | Run 03/10
Config 19/20 | Run 04/10
Config 19/20 | Run 05/10
Config 19/20 | Run 06/10
Config 19/20 | Run 07/10
Config 19/20 | Run 08/10
Config 19/20 | Run 09/10
Config 19/20 | Run 10/10
Config 20/20 | Run 01/10
Config 20/20 | Run 02/10
Config 20/20 | Run 03/10
Config 20/20 | Run 04/10
Config 20/20 | Run 05/10
Config 20/20 | Run 06/10
Config 20/20 | Run 07/10
Config 20/20 | Run 08/10
Config 20/20 | Run 09/10
Config 20/20 | Run 10/10
Initializing model...
Mode: model_id=Qwen/Qwen3-VL-8B-Instruct | uses_tools=False | uses_image=False
Config 01/20 | Run 01/10
